"id","created_at","name","has_test","alternate_url"
115551286,"2025-01-14T17:46:23+0300","-",false,"https://hh.ru/vacancy/115551286"
112388836,"2025-01-17T07:32:09+0300","Junior",false,"https://hh.ru/vacancy/112388836"
112763125,"2025-01-17T11:19:10+0300","Junior",false,"https://hh.ru/vacancy/112763125"
114195603,"2025-01-17T17:16:52+0300","Junior",false,"https://hh.ru/vacancy/114195603"
115928521,"2025-01-22T10:32:06+0300","-",false,"https://hh.ru/vacancy/115928521"
116112486,"2025-01-22T20:29:40+0300","-",false,"https://hh.ru/vacancy/116112486"
116158361,"2025-01-23T14:39:28+0300","-",false,"https://hh.ru/vacancy/116158361"
116162044,"2025-01-23T15:18:06+0300","-",false,"https://hh.ru/vacancy/116162044"
116426754,"2025-01-28T09:26:34+0300","-",false,"https://hh.ru/vacancy/116426754"
116428008,"2025-01-28T09:39:22+0300","-",false,"https://hh.ru/vacancy/116428008"
116455264,"2025-01-28T13:58:05+0300","-",false,"https://hh.ru/vacancy/116455264"
116456806,"2025-01-28T14:19:26+0300","-",false,"https://hh.ru/vacancy/116456806"
116477668,"2025-01-28T18:17:30+0300","-",false,"https://hh.ru/vacancy/116477668"
116496194,"2025-01-29T10:57:28+0300","-",false,"https://hh.ru/vacancy/116496194"
116505368,"2025-01-29T12:50:56+0300","-",false,"https://hh.ru/vacancy/116505368"
116543547,"2025-01-30T10:26:31+0300","-",false,"https://hh.ru/vacancy/116543547"
116545019,"2025-01-30T10:48:46+0300","-",false,"https://hh.ru/vacancy/116545019"
116566429,"2025-01-30T14:17:16+0300","Junior",false,"https://hh.ru/vacancy/116566429"
116566430,"2025-01-30T14:17:16+0300","Junior",false,"https://hh.ru/vacancy/116566430"
116573564,"2025-01-30T16:10:48+0300","-",false,"https://hh.ru/vacancy/116573564"
